# unix_timestamp,iso_timestamp,lng,lat
1488223408.286999226,2017-02-27T11:23:28.286999226-08:00,37.39145189999999985,-122.08209039999999845
1488223408.297030687,2017-02-27T11:23:28.297030687-08:00,37.39145189999999985,-122.08209039999999845
1488223408.307151079,2017-02-27T11:23:28.307151079-08:00,37.39145189999999985,-122.08209039999999845
1488223408.316982031,2017-02-27T11:23:28.316982031-08:00,37.39145189999999985,-122.08209039999999845
1488223408.327107668,2017-02-27T11:23:28.327107668-08:00,37.39145189999999985,-122.08209039999999845
1488223408.336987734,2017-02-27T11:23:28.336987734-08:00,37.39145189999999985,-122.08209039999999845
1488223408.346972466,2017-02-27T11:23:28.346972466-08:00,37.39145189999999985,-122.08209039999999845
1488223408.356967926,2017-02-27T11:23:28.356967926-08:00,37.39145189999999985,-122.08209039999999845
1488223408.366969824,2017-02-27T11:23:28.366969824-08:00,37.39145189999999985,-122.08209039999999845
1488223408.377087355,2017-02-27T11:23:28.377087355-08:00,37.39145189999999985,-122.08209039999999845
1488223408.386963606,2017-02-27T11:23:28.386963606-08:00,37.39145189999999985,-122.08209039999999845
1488223408.396955729,2017-02-27T11:23:28.396955729-08:00,37.39145189999999985,-122.08209039999999845
1488223408.406974077,2017-02-27T11:23:28.406974077-08:00,37.39145189999999985,-122.08209039999999845
1488223411.617046833,2017-02-27T11:23:31.617046833-08:00,37.39145189999999985,-122.08209049999999252
1488223411.627048016,2017-02-27T11:23:31.627048016-08:00,37.39145189999999985,-122.08209049999999252
1488223411.637006044,2017-02-27T11:23:31.637006044-08:00,37.39145189999999985,-122.08209049999999252
1488223411.646981716,2017-02-27T11:23:31.646981716-08:00,37.39145189999999985,-122.08209049999999252
1488223411.657065868,2017-02-27T11:23:31.657065868-08:00,37.39145189999999985,-122.08209049999999252
1488223411.666975260,2017-02-27T11:23:31.666975260-08:00,37.39145189999999985,-122.08209049999999252
1488223419.677048445,2017-02-27T11:23:39.677048445-08:00,37.39145200000000102,-122.08209039999999845
1488223419.686985970,2017-02-27T11:23:39.686985970-08:00,37.39145200000000102,-122.08209039999999845
1488223419.697108507,2017-02-27T11:23:39.697108507-08:00,37.39145200000000102,-122.08209039999999845
1488223419.707025290,2017-02-27T11:23:39.707025290-08:00,37.39145200000000102,-122.08209039999999845
1488223419.717039585,2017-02-27T11:23:39.717039585-08:00,37.39145200000000102,-122.08209039999999845
1488223419.727119684,2017-02-27T11:23:39.727119684-08:00,37.39145200000000102,-122.08209039999999845
1488223419.737283707,2017-02-27T11:23:39.737283707-08:00,37.39145200000000102,-122.08209039999999845
1488223419.747023344,2017-02-27T11:23:39.747023344-08:00,37.39145200000000102,-122.08209039999999845
1488223419.757014036,2017-02-27T11:23:39.757014036-08:00,37.39145200000000102,-122.08209049999999252
1488223419.767024279,2017-02-27T11:23:39.767024279-08:00,37.39145200000000102,-122.08209049999999252
1488223419.777078390,2017-02-27T11:23:39.777078390-08:00,37.39145200000000102,-122.08209049999999252
1488223419.786990643,2017-02-27T11:23:39.786990643-08:00,37.39145200000000102,-122.08209049999999252
1488223419.797031641,2017-02-27T11:23:39.797031641-08:00,37.39145200000000102,-122.08209049999999252
1488223419.807029247,2017-02-27T11:23:39.807029247-08:00,37.39145200000000102,-122.08209049999999252
1488223419.816993475,2017-02-27T11:23:39.816993475-08:00,37.39145200000000102,-122.08209049999999252
1488223419.827064514,2017-02-27T11:23:39.827064514-08:00,37.39145200000000102,-122.08209049999999252
1488223419.837022305,2017-02-27T11:23:39.837022305-08:00,37.39145200000000102,-122.08209049999999252
1488223419.847333193,2017-02-27T11:23:39.847333193-08:00,37.39145200000000102,-122.08209049999999252
1488223419.856990814,2017-02-27T11:23:39.856990814-08:00,37.39145200000000102,-122.08209049999999252
1488223419.867080927,2017-02-27T11:23:39.867080927-08:00,37.39145200000000102,-122.08209049999999252
1488223419.877146721,2017-02-27T11:23:39.877146721-08:00,37.39145200000000102,-122.08209049999999252
1488223419.886994600,2017-02-27T11:23:39.886994600-08:00,37.39145200000000102,-122.08209049999999252
1488223419.897185564,2017-02-27T11:23:39.897185564-08:00,37.39145200000000102,-122.08209049999999252
1488223419.907041311,2017-02-27T11:23:39.907041311-08:00,37.39145200000000102,-122.08209049999999252
1488223419.916998625,2017-02-27T11:23:39.916998625-08:00,37.39145200000000102,-122.08209049999999252
1488223419.927033663,2017-02-27T11:23:39.927033663-08:00,37.39145200000000102,-122.08209049999999252
1488223419.937021255,2017-02-27T11:23:39.937021255-08:00,37.39145200000000102,-122.08209049999999252
1488223419.947046041,2017-02-27T11:23:39.947046041-08:00,37.39145200000000102,-122.08209049999999252
1488223419.957046032,2017-02-27T11:23:39.957046032-08:00,37.39145200000000102,-122.08209049999999252
1488223419.967313290,2017-02-27T11:23:39.967313290-08:00,37.39145200000000102,-122.08209049999999252
1488223419.977050304,2017-02-27T11:23:39.977050304-08:00,37.39145200000000102,-122.08209049999999252
1488223419.987030983,2017-02-27T11:23:39.987030983-08:00,37.39145200000000102,-122.08209049999999252
1488223419.997016907,2017-02-27T11:23:39.997016907-08:00,37.39145200000000102,-122.08209049999999252
1488223420.006997824,2017-02-27T11:23:40.006997824-08:00,37.39145200000000102,-122.08209049999999252
1488223420.017016172,2017-02-27T11:23:40.017016172-08:00,37.39145200000000102,-122.08209049999999252
1488223420.027073860,2017-02-27T11:23:40.027073860-08:00,37.39145200000000102,-122.08209049999999252
1488223420.037139893,2017-02-27T11:23:40.037139893-08:00,37.39145200000000102,-122.08209049999999252
